state_name,city_name,year,month,day_of_week,time_of_day,accident_severity,number_of_vehicles_involved,vehicle_type_involved,number_of_casualties,number_of_fatalities,weather_conditions,road_type,road_condition,lighting_conditions,traffic_control_presence,speed_limit_(km/h),driver_age,driver_gender,driver_license_status,alcohol_involvement,accident_location_details,day,month_name,hour,area_type
Rajasthan,Udaipur,2023,June,Tuesday,07:25,Fatal,4,Cycle,5,2,Foggy,Urban Road,Dry,Dawn,Unknown,64,67,Male,Valid,No,Bridge,Tuesday,,,Unknown
Gujarat,Ahmedabad,2022,December,Friday,11:41,Fatal,3,Auto-Rickshaw,3,2,Foggy,Urban Road,Damaged,Dark,Signals,117,57,Female,Expired,Yes,Curve,Friday,,,Unknown
Maharashtra,Pune,2019,February,Saturday,17:31,Minor,5,Car,10,2,Rainy,National Highway,Under Construction,Daylight,Unknown,60,38,Female,Expired,No,Intersection,Saturday,,,Rural
Gujarat,Surat,2021,June,Saturday,01:42,Fatal,3,Two-Wheeler,9,0,Clear,Urban Road,Wet,Dawn,Unknown,37,63,Female,Expired,No,Bridge,Saturday,,,Unknown
West Bengal,Kolkata,2021,December,Thursday,08:32,Serious,4,Truck,5,1,Stormy,Village Road,Dry,Dawn,Police Checkpost,100,61,Male,Expired,No,Curve,Thursday,,,Unknown
Maharashtra,Pune,2022,February,Wednesday,11:27,Fatal,5,Car,6,2,Stormy,State Highway,Wet,Dawn,Unknown,44,36,Female,Expired,Yes,Intersection,Wednesday,,,Unknown
Meghalaya,Unknown,2021,November,Wednesday,19:51,Fatal,3,Truck,0,3,Rainy,State Highway,Dry,Dark,Signals,98,24,Female,Unknown,No,Straight Road,Wednesday,,,Unknown
Tamil Nadu,Madurai,2020,January,Thursday,19:22,Minor,1,Pedestrian,2,2,Hazy,Village Road,Dry,Dark,Unknown,114,64,Female,Unknown,Yes,Straight Road,Thursday,,,Unknown
Andhra Pradesh,Visakhapatnam,2020,December,Thursday,09:48,Minor,4,Auto-Rickshaw,10,1,Stormy,State Highway,Wet,Daylight,Unknown,80,40,Male,Unknown,Yes,Bridge,Thursday,,,Unknown
Goa,Unknown,2019,November,Wednesday,21:30,Serious,3,Car,8,2,Stormy,State Highway,Wet,Daylight,Unknown,114,33,Female,Valid,No,Bridge,Wednesday,,,Unknown
Puducherry,Unknown,2021,March,Thursday,11:52,Minor,5,Two-Wheeler,2,5,Hazy,State Highway,Damaged,Dusk,Signs,30,27,Female,Valid,Yes,Curve,Thursday,,,Unknown
Punjab,Unknown,2022,November,Tuesday,09:44,Fatal,2,Two-Wheeler,7,0,Foggy,State Highway,Damaged,Dawn,Unknown,94,22,Male,Expired,Yes,Bridge,Tuesday,,,Unknown
Jharkhand,Unknown,2020,June,Thursday,22:16,Serious,1,Bus,8,2,Foggy,Village Road,Dry,Dark,Unknown,120,56,Male,Valid,No,Straight Road,Thursday,,,Unknown
Odisha,Unknown,2019,September,Monday,16:12,Serious,4,Bus,6,5,Hazy,Urban Road,Under Construction,Daylight,Signs,44,68,Female,Expired,Yes,Straight Road,Monday,,,Unknown
Telangana,Unknown,2022,March,Sunday,09:30,Serious,3,Auto-Rickshaw,10,2,Stormy,Village Road,Dry,Dawn,Signs,82,60,Male,Unknown,No,Bridge,Sunday,,,Unknown
Goa,Unknown,2019,April,Thursday,05:36,Fatal,1,Pedestrian,0,1,Hazy,National Highway,Wet,Dusk,Signals,106,36,Female,Valid,Yes,Bridge,Thursday,,,Rural
Kerala,Unknown,2019,March,Friday,15:33,Minor,2,Pedestrian,7,5,Rainy,National Highway,Dry,Dusk,Unknown,38,46,Female,Unknown,Yes,Bridge,Friday,,,Rural
Odisha,Unknown,2018,March,Monday,05:31,Minor,3,Car,1,1,Clear,Urban Road,Under Construction,Daylight,Signals,33,62,Male,Valid,No,Bridge,Monday,,,Unknown
Tamil Nadu,Coimbatore,2020,December,Saturday,13:54,Fatal,3,Bus,8,4,Hazy,Village Road,Damaged,Dusk,Unknown,80,68,Male,Valid,Yes,Curve,Saturday,,,Unknown
Andhra Pradesh,Visakhapatnam,2022,November,Tuesday,13:07,Fatal,5,Auto-Rickshaw,10,5,Stormy,State Highway,Under Construction,Dark,Signs,105,35,Female,Valid,No,Intersection,Tuesday,,,Unknown
Kerala,Unknown,2018,October,Wednesday,14:56,Serious,2,Truck,8,2,Foggy,Village Road,Dry,Dusk,Unknown,101,62,Male,Unknown,Yes,Curve,Wednesday,,,Unknown
Andhra Pradesh,Tirupati,2021,April,Monday,06:26,Minor,5,Pedestrian,4,4,Stormy,Village Road,Under Construction,Daylight,Signs,106,36,Female,Expired,No,Intersection,Monday,,,Unknown
Nagaland,Unknown,2021,August,Sunday,16:13,Minor,5,Bus,1,2,Hazy,State Highway,Damaged,Dark,Signs,55,24,Male,Unknown,No,Straight Road,Sunday,,,Unknown
Goa,Unknown,2021,September,Sunday,07:29,Minor,5,Auto-Rickshaw,8,5,Clear,State Highway,Wet,Dark,Signals,36,33,Male,Unknown,No,Curve,Sunday,,,Unknown
Tamil Nadu,Coimbatore,2021,April,Monday,11:23,Minor,2,Truck,7,0,Stormy,Urban Road,Wet,Dusk,Unknown,30,39,Female,Valid,No,Straight Road,Monday,,,Unknown
Chhattisgarh,Unknown,2020,April,Tuesday,02:23,Minor,3,Car,5,4,Rainy,State Highway,Wet,Daylight,Signs,49,50,Female,Expired,Yes,Intersection,Tuesday,,,Unknown
Arunachal Pradesh,Unknown,2023,May,Friday,08:34,Minor,1,Pedestrian,2,4,Rainy,State Highway,Under Construction,Dusk,Police Checkpost,77,66,Male,Unknown,Yes,Straight Road,Friday,,,Unknown
Sikkim,Unknown,2018,October,Saturday,13:27,Fatal,2,Cycle,5,1,Hazy,State Highway,Dry,Dusk,Police Checkpost,81,68,Female,Unknown,Yes,Bridge,Saturday,,,Unknown
Mizoram,Unknown,2020,February,Thursday,20:53,Minor,4,Cycle,3,2,Rainy,State Highway,Under Construction,Daylight,Signs,83,48,Female,Valid,No,Intersection,Thursday,,,Unknown
Delhi,Rohini,2020,March,Saturday,15:03,Serious,3,Auto-Rickshaw,1,5,Clear,State Highway,Dry,Dawn,Signals,97,46,Female,Unknown,No,Straight Road,Saturday,,,Unknown
Telangana,Unknown,2022,March,Sunday,16:33,Minor,1,Pedestrian,6,2,Hazy,Urban Road,Dry,Dusk,Signs,76,18,Female,Expired,No,Straight Road,Sunday,,,Unknown
Arunachal Pradesh,Unknown,2019,November,Sunday,20:56,Serious,2,Pedestrian,3,2,Clear,National Highway,Wet,Daylight,Signals,50,54,Male,Expired,Yes,Bridge,Sunday,,,Rural
Uttar Pradesh,Lucknow,2020,November,Tuesday,08:12,Minor,1,Pedestrian,9,4,Clear,Village Road,Dry,Daylight,Signs,75,61,Male,Valid,No,Curve,Tuesday,,,Unknown
Jharkhand,Unknown,2021,May,Monday,02:14,Serious,3,Truck,3,4,Stormy,Urban Road,Wet,Dawn,Signs,75,68,Female,Unknown,No,Straight Road,Monday,,,Unknown
Sikkim,Unknown,2023,October,Sunday,06:39,Minor,3,Auto-Rickshaw,1,2,Rainy,State Highway,Dry,Dark,Police Checkpost,58,67,Male,Unknown,No,Bridge,Sunday,,,Unknown
Assam,Unknown,2020,March,Tuesday,03:05,Minor,5,Pedestrian,2,2,Stormy,National Highway,Damaged,Dawn,Police Checkpost,45,30,Female,Unknown,Yes,Straight Road,Tuesday,,,Rural
Kerala,Unknown,2023,February,Sunday,19:40,Fatal,3,Two-Wheeler,0,1,Hazy,Village Road,Wet,Dark,Unknown,75,63,Male,Expired,Yes,Curve,Sunday,,,Unknown
Uttar Pradesh,Varanasi,2022,September,Saturday,15:44,Serious,2,Cycle,0,0,Clear,National Highway,Dry,Dark,Unknown,92,40,Female,Valid,Yes,Curve,Saturday,,,Rural
Karnataka,Bangalore,2022,December,Thursday,20:14,Minor,1,Two-Wheeler,5,3,Stormy,Village Road,Wet,Dusk,Unknown,76,42,Male,Unknown,No,Bridge,Thursday,,,Unknown
Puducherry,Unknown,2021,August,Saturday,11:52,Minor,5,Pedestrian,4,4,Stormy,Village Road,Wet,Dawn,Signs,100,40,Female,Expired,Yes,Bridge,Saturday,,,Unknown
Telangana,Unknown,2023,May,Monday,13:06,Serious,1,Auto-Rickshaw,3,5,Rainy,Village Road,Damaged,Dark,Police Checkpost,55,45,Female,Expired,Yes,Bridge,Monday,,,Unknown
Kerala,Unknown,2020,February,Monday,08:52,Fatal,2,Bus,2,2,Stormy,National Highway,Under Construction,Dawn,Unknown,105,32,Female,Valid,No,Intersection,Monday,,,Rural
Gujarat,Surat,2022,March,Monday,16:36,Minor,5,Two-Wheeler,6,2,Hazy,National Highway,Wet,Dark,Signals,100,26,Female,Expired,No,Straight Road,Monday,,,Rural
Odisha,Unknown,2021,June,Thursday,16:41,Serious,5,Bus,5,2,Rainy,Urban Road,Under Construction,Daylight,Unknown,82,70,Female,Expired,Yes,Curve,Thursday,,,Unknown
Delhi,Dwarka,2023,October,Tuesday,00:28,Serious,1,Car,10,5,Hazy,Village Road,Damaged,Daylight,Police Checkpost,115,56,Female,Unknown,Yes,Intersection,Tuesday,,,Unknown
Goa,Unknown,2020,February,Saturday,08:30,Fatal,5,Auto-Rickshaw,9,3,Rainy,Urban Road,Dry,Dawn,Signs,114,57,Female,Valid,No,Straight Road,Saturday,,,Unknown
Gujarat,Surat,2018,April,Saturday,06:18,Minor,3,Bus,1,5,Stormy,State Highway,Under Construction,Dark,Signs,31,40,Male,Valid,Yes,Curve,Saturday,,,Unknown
Nagaland,Unknown,2019,March,Saturday,02:10,Fatal,3,Cycle,8,0,Stormy,Village Road,Wet,Dark,Police Checkpost,46,62,Male,Expired,No,Curve,Saturday,,,Unknown
Gujarat,Surat,2022,January,Wednesday,21:10,Serious,4,Truck,6,1,Rainy,State Highway,Dry,Dawn,Signs,110,52,Male,Expired,Yes,Curve,Wednesday,,,Unknown
Goa,Unknown,2018,June,Sunday,16:22,Fatal,1,Truck,3,1,Stormy,Village Road,Under Construction,Dawn,Signs,94,39,Female,Unknown,Yes,Straight Road,Sunday,,,Unknown
Mizoram,Unknown,2023,August,Monday,11:24,Fatal,1,Cycle,9,1,Clear,Urban Road,Wet,Dark,Signs,100,28,Female,Valid,Yes,Curve,Monday,,,Unknown
Uttarakhand,Unknown,2018,June,Thursday,22:37,Serious,4,Auto-Rickshaw,9,0,Rainy,Village Road,Dry,Dark,Police Checkpost,102,50,Female,Expired,Yes,Straight Road,Thursday,,,Unknown
Madhya Pradesh,Unknown,2020,June,Tuesday,12:06,Serious,4,Cycle,10,2,Foggy,State Highway,Wet,Dark,Police Checkpost,97,42,Male,Valid,Yes,Curve,Tuesday,,,Unknown
Meghalaya,Unknown,2022,October,Monday,11:32,Minor,5,Two-Wheeler,2,0,Stormy,Urban Road,Under Construction,Daylight,Police Checkpost,76,31,Female,Valid,Yes,Curve,Monday,,,Unknown
Nagaland,Unknown,2020,July,Monday,06:13,Fatal,5,Auto-Rickshaw,5,0,Rainy,Urban Road,Under Construction,Dusk,Unknown,75,31,Female,Expired,Yes,Bridge,Monday,,,Unknown
Delhi,Dwarka,2021,January,Friday,05:00,Minor,3,Pedestrian,8,5,Stormy,Village Road,Dry,Dark,Signs,49,64,Male,Valid,Yes,Straight Road,Friday,,,Unknown
Delhi,Dwarka,2023,September,Saturday,14:20,Minor,3,Truck,10,0,Rainy,Urban Road,Dry,Dawn,Signals,113,65,Female,Expired,No,Straight Road,Saturday,,,Unknown
Punjab,Unknown,2020,May,Friday,23:17,Minor,2,Pedestrian,10,0,Hazy,State Highway,Wet,Dusk,Signs,61,61,Male,Unknown,Yes,Straight Road,Friday,,,Unknown
Uttar Pradesh,Kanpur,2023,November,Wednesday,19:28,Minor,5,Truck,8,0,Rainy,Village Road,Wet,Dawn,Unknown,43,56,Male,Unknown,Yes,Straight Road,Wednesday,,,Unknown
Delhi,New Delhi,2020,July,Friday,21:15,Serious,1,Car,8,0,Clear,Urban Road,Under Construction,Dusk,Police Checkpost,81,68,Male,Expired,Yes,Straight Road,Friday,,,Unknown
Madhya Pradesh,Unknown,2018,November,Friday,21:37,Fatal,2,Two-Wheeler,1,2,Hazy,State Highway,Wet,Dawn,Signs,41,38,Male,Valid,No,Intersection,Friday,,,Unknown
Maharashtra,Nagpur,2022,March,Sunday,06:30,Serious,2,Truck,10,3,Clear,National Highway,Damaged,Dusk,Police Checkpost,86,58,Male,Valid,No,Curve,Sunday,,,Rural
Assam,Unknown,2019,September,Tuesday,22:38,Serious,3,Bus,6,5,Rainy,State Highway,Dry,Daylight,Police Checkpost,42,69,Male,Unknown,Yes,Intersection,Tuesday,,,Unknown
Jharkhand,Unknown,2022,January,Friday,18:51,Minor,5,Pedestrian,10,4,Stormy,Village Road,Damaged,Dawn,Unknown,86,19,Male,Unknown,No,Bridge,Friday,,,Unknown
Tamil Nadu,Madurai,2023,October,Monday,03:27,Fatal,5,Pedestrian,5,5,Foggy,Village Road,Wet,Dusk,Signs,99,20,Male,Valid,No,Intersection,Monday,,,Unknown
Punjab,Unknown,2020,January,Tuesday,01:14,Minor,4,Truck,10,2,Clear,Village Road,Under Construction,Dusk,Police Checkpost,89,58,Female,Expired,No,Straight Road,Tuesday,,,Unknown
Sikkim,Unknown,2020,January,Wednesday,17:33,Minor,1,Cycle,2,1,Stormy,State Highway,Under Construction,Daylight,Signs,89,54,Male,Expired,No,Straight Road,Wednesday,,,Unknown
Tamil Nadu,Madurai,2023,November,Saturday,05:54,Minor,1,Auto-Rickshaw,10,1,Clear,State Highway,Damaged,Daylight,Signals,31,64,Male,Valid,Yes,Bridge,Saturday,,,Unknown
Delhi,New Delhi,2020,January,Wednesday,10:56,Fatal,4,Car,1,1,Rainy,Village Road,Wet,Dusk,Unknown,75,69,Female,Valid,No,Intersection,Wednesday,,,Unknown
Meghalaya,Unknown,2019,October,Monday,19:31,Minor,3,Truck,10,0,Hazy,State Highway,Under Construction,Dawn,Signs,103,29,Female,Expired,No,Bridge,Monday,,,Unknown
Goa,Unknown,2023,September,Wednesday,15:22,Serious,4,Car,6,3,Rainy,National Highway,Damaged,Dusk,Unknown,113,64,Male,Valid,Yes,Intersection,Wednesday,,,Rural
Punjab,Unknown,2021,February,Saturday,00:23,Fatal,4,Cycle,8,4,Hazy,Urban Road,Under Construction,Dusk,Signs,71,56,Male,Valid,No,Bridge,Saturday,,,Unknown
Arunachal Pradesh,Unknown,2018,December,Tuesday,11:57,Minor,2,Cycle,7,1,Rainy,Urban Road,Under Construction,Dusk,Signs,35,35,Female,Valid,Yes,Straight Road,Tuesday,,,Unknown
Uttarakhand,Unknown,2023,August,Thursday,12:40,Minor,5,Pedestrian,0,5,Clear,State Highway,Under Construction,Dark,Signs,79,43,Male,Unknown,No,Straight Road,Thursday,,,Unknown
Mizoram,Unknown,2020,December,Tuesday,04:51,Fatal,3,Auto-Rickshaw,7,1,Hazy,State Highway,Damaged,Daylight,Police Checkpost,54,50,Female,Expired,Yes,Bridge,Tuesday,,,Unknown
Himachal Pradesh,Unknown,2023,December,Saturday,02:42,Fatal,2,Auto-Rickshaw,2,1,Clear,National Highway,Under Construction,Daylight,Unknown,86,24,Female,Expired,Yes,Intersection,Saturday,,,Rural
West Bengal,Kolkata,2021,March,Saturday,04:35,Minor,4,Cycle,10,2,Hazy,Village Road,Dry,Daylight,Unknown,32,68,Male,Expired,Yes,Curve,Saturday,,,Unknown
Nagaland,Unknown,2022,February,Monday,04:41,Minor,1,Cycle,8,0,Stormy,Urban Road,Damaged,Daylight,Signals,57,54,Male,Valid,Yes,Intersection,Monday,,,Unknown
Puducherry,Unknown,2023,December,Monday,12:51,Minor,3,Cycle,7,0,Rainy,National Highway,Wet,Daylight,Police Checkpost,104,64,Female,Expired,No,Curve,Monday,,,Rural
Andhra Pradesh,Visakhapatnam,2018,May,Tuesday,00:25,Minor,2,Bus,6,0,Foggy,Urban Road,Wet,Dark,Unknown,86,24,Female,Unknown,Yes,Straight Road,Tuesday,,,Unknown
Assam,Unknown,2018,April,Friday,15:50,Serious,3,Pedestrian,4,0,Clear,Village Road,Under Construction,Dusk,Unknown,119,70,Male,Valid,Yes,Bridge,Friday,,,Unknown
Madhya Pradesh,Unknown,2022,January,Sunday,06:48,Serious,3,Cycle,3,1,Hazy,Village Road,Damaged,Dusk,Signals,110,24,Male,Valid,No,Straight Road,Sunday,,,Unknown
Himachal Pradesh,Unknown,2021,May,Saturday,00:14,Serious,5,Auto-Rickshaw,5,3,Clear,National Highway,Damaged,Dawn,Signals,99,27,Male,Valid,Yes,Bridge,Saturday,,,Rural
Jharkhand,Unknown,2020,August,Tuesday,19:14,Minor,3,Truck,10,2,Rainy,Urban Road,Damaged,Dark,Signs,79,37,Male,Unknown,Yes,Intersection,Tuesday,,,Unknown
Odisha,Unknown,2019,May,Sunday,10:35,Minor,5,Cycle,5,1,Hazy,State Highway,Dry,Dusk,Police Checkpost,45,56,Male,Expired,Yes,Bridge,Sunday,,,Unknown
Odisha,Unknown,2018,January,Thursday,08:38,Fatal,4,Car,9,3,Rainy,State Highway,Damaged,Dawn,Signs,88,42,Female,Unknown,No,Bridge,Thursday,,,Unknown
Telangana,Unknown,2021,July,Wednesday,21:54,Serious,3,Auto-Rickshaw,2,4,Foggy,Village Road,Damaged,Dawn,Police Checkpost,76,23,Male,Unknown,No,Intersection,Wednesday,,,Unknown
Tripura,Unknown,2021,April,Wednesday,01:39,Minor,3,Truck,7,5,Rainy,State Highway,Wet,Dark,Police Checkpost,81,58,Male,Expired,No,Straight Road,Wednesday,,,Unknown
Goa,Unknown,2018,July,Tuesday,12:16,Fatal,1,Bus,1,1,Hazy,Urban Road,Damaged,Daylight,Police Checkpost,98,52,Male,Expired,Yes,Intersection,Tuesday,,,Unknown
Chhattisgarh,Unknown,2023,November,Thursday,11:52,Fatal,2,Car,3,3,Rainy,Urban Road,Under Construction,Dawn,Unknown,65,52,Male,Expired,Yes,Straight Road,Thursday,,,Unknown
Punjab,Unknown,2019,August,Wednesday,11:43,Fatal,2,Pedestrian,0,3,Rainy,Village Road,Wet,Dark,Police Checkpost,108,33,Female,Valid,Yes,Curve,Wednesday,,,Unknown
Uttar Pradesh,Lucknow,2022,October,Wednesday,04:58,Serious,3,Two-Wheeler,8,5,Rainy,Village Road,Under Construction,Dusk,Unknown,112,24,Male,Valid,No,Curve,Wednesday,,,Unknown
Telangana,Unknown,2022,April,Sunday,19:07,Fatal,2,Cycle,0,3,Clear,Village Road,Damaged,Dusk,Unknown,118,25,Female,Valid,Yes,Straight Road,Sunday,,,Unknown
Nagaland,Unknown,2023,February,Thursday,04:25,Serious,1,Bus,9,5,Clear,State Highway,Dry,Dark,Signals,81,46,Male,Expired,Yes,Curve,Thursday,,,Unknown
Kerala,Unknown,2019,January,Monday,17:02,Minor,4,Pedestrian,6,2,Stormy,Urban Road,Wet,Dusk,Signals,91,50,Female,Unknown,No,Bridge,Monday,,,Unknown
Jammu And Kashmir,Unknown,2022,October,Tuesday,00:22,Serious,3,Bus,0,1,Rainy,Urban Road,Dry,Dusk,Signs,95,29,Male,Valid,No,Intersection,Tuesday,,,Unknown
Himachal Pradesh,Unknown,2019,May,Tuesday,22:55,Fatal,1,Car,0,1,Rainy,State Highway,Damaged,Daylight,Signals,37,67,Female,Expired,No,Bridge,Tuesday,,,Unknown
Delhi,Rohini,2018,February,Tuesday,15:58,Serious,2,Bus,3,3,Rainy,Urban Road,Dry,Daylight,Signals,81,69,Female,Valid,No,Intersection,Tuesday,,,Unknown
Karnataka,Mangalore,2018,March,Friday,15:42,Fatal,4,Bus,2,2,Clear,State Highway,Damaged,Daylight,Signs,89,57,Female,Valid,No,Intersection,Friday,,,Unknown
Karnataka,Mangalore,2019,August,Tuesday,05:26,Serious,2,Two-Wheeler,3,5,Clear,National Highway,Damaged,Dusk,Police Checkpost,76,47,Male,Valid,Yes,Intersection,Tuesday,,,Rural
Madhya Pradesh,Unknown,2022,June,Monday,01:03,Minor,4,Car,7,3,Foggy,Urban Road,Dry,Dusk,Signals,32,69,Male,Expired,Yes,Bridge,Monday,,,Unknown
Manipur,Unknown,2021,November,Thursday,19:25,Fatal,5,Bus,6,1,Foggy,Village Road,Wet,Dark,Signals,104,38,Male,Valid,Yes,Intersection,Thursday,,,Unknown
Gujarat,Surat,2019,October,Friday,10:23,Serious,3,Pedestrian,4,0,Rainy,State Highway,Dry,Daylight,Signals,107,23,Female,Valid,Yes,Straight Road,Friday,,,Unknown
Rajasthan,Jaipur,2018,October,Saturday,04:24,Minor,1,Bus,9,2,Rainy,Urban Road,Wet,Dusk,Signs,79,64,Male,Expired,No,Intersection,Saturday,,,Unknown
Tamil Nadu,Madurai,2021,April,Thursday,05:29,Minor,2,Auto-Rickshaw,1,5,Clear,National Highway,Under Construction,Dusk,Police Checkpost,84,30,Male,Valid,Yes,Intersection,Thursday,,,Rural
Karnataka,Mysore,2018,April,Saturday,06:45,Fatal,3,Car,0,3,Hazy,Urban Road,Dry,Dark,Unknown,98,54,Female,Valid,No,Straight Road,Saturday,,,Unknown
Arunachal Pradesh,Unknown,2021,January,Friday,02:56,Serious,3,Truck,1,4,Foggy,State Highway,Dry,Dark,Police Checkpost,51,21,Female,Expired,No,Intersection,Friday,,,Unknown
Uttarakhand,Unknown,2023,February,Saturday,12:05,Minor,2,Pedestrian,9,4,Stormy,Village Road,Wet,Dusk,Unknown,66,65,Male,Unknown,No,Curve,Saturday,,,Unknown
Punjab,Unknown,2018,June,Saturday,03:58,Minor,1,Truck,8,1,Rainy,National Highway,Under Construction,Dusk,Signals,74,49,Male,Unknown,No,Bridge,Saturday,,,Rural
Chhattisgarh,Unknown,2019,October,Tuesday,16:00,Fatal,5,Cycle,0,1,Clear,National Highway,Damaged,Daylight,Signals,33,37,Male,Valid,No,Intersection,Tuesday,,,Rural
Sikkim,Unknown,2023,August,Sunday,07:19,Serious,4,Car,0,1,Stormy,State Highway,Wet,Dusk,Signs,59,23,Male,Expired,Yes,Intersection,Sunday,,,Unknown
Chandigarh,Unknown,2022,December,Saturday,17:58,Serious,4,Auto-Rickshaw,7,2,Clear,Urban Road,Dry,Daylight,Police Checkpost,64,67,Male,Expired,No,Straight Road,Saturday,,,Unknown
Delhi,Dwarka,2023,February,Tuesday,10:44,Fatal,5,Two-Wheeler,7,2,Rainy,Urban Road,Damaged,Dawn,Signals,62,25,Male,Valid,Yes,Bridge,Tuesday,,,Unknown
West Bengal,Siliguri,2021,October,Sunday,03:52,Minor,1,Two-Wheeler,7,4,Hazy,National Highway,Wet,Daylight,Signals,51,54,Male,Valid,Yes,Intersection,Sunday,,,Rural
Chhattisgarh,Unknown,2018,August,Thursday,07:49,Minor,4,Auto-Rickshaw,9,3,Clear,State Highway,Dry,Dark,Signals,40,36,Male,Unknown,No,Bridge,Thursday,,,Unknown
Uttarakhand,Unknown,2018,August,Saturday,01:43,Minor,4,Pedestrian,1,4,Hazy,Village Road,Dry,Dawn,Police Checkpost,44,53,Female,Expired,No,Intersection,Saturday,,,Unknown
Maharashtra,Pune,2021,May,Saturday,19:55,Fatal,5,Auto-Rickshaw,9,4,Stormy,Urban Road,Dry,Dark,Signals,85,21,Male,Expired,Yes,Intersection,Saturday,,,Unknown
Manipur,Unknown,2022,February,Wednesday,03:53,Fatal,3,Car,10,3,Foggy,National Highway,Under Construction,Daylight,Signs,114,18,Female,Unknown,No,Intersection,Wednesday,,,Rural
Goa,Unknown,2020,March,Thursday,16:29,Fatal,2,Two-Wheeler,3,1,Foggy,State Highway,Dry,Dusk,Police Checkpost,81,42,Female,Expired,Yes,Curve,Thursday,,,Unknown
Haryana,Unknown,2022,July,Sunday,05:35,Minor,3,Two-Wheeler,9,2,Hazy,State Highway,Under Construction,Dusk,Unknown,33,46,Male,Expired,Yes,Curve,Sunday,,,Unknown
Uttar Pradesh,Kanpur,2022,November,Friday,00:13,Fatal,1,Car,5,2,Stormy,State Highway,Damaged,Dusk,Unknown,72,53,Male,Valid,No,Intersection,Friday,,,Unknown
Jammu And Kashmir,Unknown,2020,March,Thursday,05:53,Minor,3,Truck,10,2,Rainy,State Highway,Damaged,Dark,Police Checkpost,112,54,Female,Valid,No,Bridge,Thursday,,,Unknown
Assam,Unknown,2020,March,Thursday,07:38,Fatal,4,Two-Wheeler,9,3,Stormy,Village Road,Under Construction,Dusk,Unknown,38,58,Male,Valid,Yes,Intersection,Thursday,,,Unknown
Nagaland,Unknown,2018,January,Thursday,13:18,Fatal,3,Auto-Rickshaw,1,3,Foggy,Village Road,Damaged,Dusk,Signs,44,65,Male,Unknown,No,Intersection,Thursday,,,Unknown
Gujarat,Ahmedabad,2022,November,Wednesday,07:41,Minor,2,Bus,9,4,Rainy,National Highway,Damaged,Dawn,Police Checkpost,117,54,Female,Valid,No,Bridge,Wednesday,,,Rural
Uttar Pradesh,Varanasi,2023,July,Thursday,21:57,Minor,3,Two-Wheeler,4,5,Rainy,Urban Road,Wet,Daylight,Signs,44,24,Male,Unknown,Yes,Straight Road,Thursday,,,Unknown
Kerala,Unknown,2021,January,Thursday,00:49,Fatal,1,Truck,1,4,Clear,State Highway,Under Construction,Daylight,Unknown,106,41,Female,Unknown,Yes,Bridge,Thursday,,,Unknown
Jammu And Kashmir,Unknown,2020,May,Sunday,07:19,Serious,3,Cycle,3,1,Stormy,Urban Road,Wet,Dark,Police Checkpost,94,70,Female,Unknown,No,Bridge,Sunday,,,Unknown
Maharashtra,Nagpur,2023,August,Tuesday,04:09,Minor,1,Truck,1,2,Clear,National Highway,Wet,Dark,Police Checkpost,46,29,Male,Valid,Yes,Bridge,Tuesday,,,Rural
Uttar Pradesh,Kanpur,2018,July,Tuesday,22:52,Fatal,3,Pedestrian,0,0,Stormy,National Highway,Dry,Dark,Signals,53,55,Male,Valid,Yes,Straight Road,Tuesday,,,Rural
Punjab,Unknown,2019,September,Sunday,17:29,Minor,1,Cycle,3,4,Stormy,State Highway,Damaged,Dawn,Unknown,36,51,Female,Expired,Yes,Intersection,Sunday,,,Unknown
Rajasthan,Jodhpur,2020,May,Friday,04:44,Fatal,5,Truck,6,1,Foggy,Urban Road,Damaged,Dark,Unknown,113,58,Female,Unknown,No,Straight Road,Friday,,,Unknown
Gujarat,Surat,2021,October,Sunday,22:53,Minor,5,Auto-Rickshaw,8,1,Hazy,Urban Road,Under Construction,Dusk,Police Checkpost,66,60,Female,Valid,Yes,Curve,Sunday,,,Unknown
Mizoram,Unknown,2020,November,Saturday,17:57,Minor,3,Bus,10,2,Foggy,State Highway,Under Construction,Dark,Signals,89,49,Female,Expired,No,Bridge,Saturday,,,Unknown
Kerala,Unknown,2019,December,Tuesday,08:22,Fatal,2,Cycle,4,1,Hazy,State Highway,Under Construction,Dark,Signs,63,59,Male,Unknown,No,Straight Road,Tuesday,,,Unknown
Uttar Pradesh,Kanpur,2018,March,Saturday,08:51,Fatal,1,Cycle,7,5,Clear,Urban Road,Under Construction,Daylight,Signs,81,39,Male,Expired,No,Straight Road,Saturday,,,Unknown
Odisha,Unknown,2019,February,Wednesday,21:37,Fatal,1,Auto-Rickshaw,2,3,Hazy,National Highway,Damaged,Daylight,Unknown,37,64,Female,Valid,Yes,Bridge,Wednesday,,,Rural
Uttarakhand,Unknown,2020,December,Friday,21:29,Fatal,3,Bus,6,0,Clear,Village Road,Damaged,Dark,Signs,39,54,Male,Unknown,No,Curve,Friday,,,Unknown
Maharashtra,Mumbai,2021,January,Sunday,10:25,Serious,2,Car,4,4,Foggy,Urban Road,Dry,Dusk,Signals,72,24,Female,Valid,Yes,Intersection,Sunday,,,Unknown
Madhya Pradesh,Unknown,2021,August,Sunday,06:36,Fatal,4,Two-Wheeler,4,2,Rainy,Urban Road,Under Construction,Dawn,Unknown,54,28,Male,Unknown,Yes,Intersection,Sunday,,,Unknown
